Month;Year;Day;Date;Mean_1y;Variance_1y;Standard Deviation_1y;25th Percentile_1y;Median_1y;75th Percentile_1y;Interquartile Range_1y;Mean_5y;Variance_5y;Standard deviation_5y;25th Percentile_5y;Median_5y;75th Percentile_5y;Interquartile Range_5y
1;2010;1;01/01/2010;3.4;19;4.4;0.3;2.8;5.2;4.8;3.3;11;3.3;1.5;2.9;4.6;3.1
2;2010;1;01/02/2010;3.6;21;4.5;0.4;2.7;5.1;4.7;3.3;14;3.7;1.3;2.7;4.7;3.4
3;2010;1;01/03/2010;3.4;20;4.5;0.5;2.7;5;4.5;3.1;9;3.1;1.4;2.7;4.5;3.1
4;2010;1;01/04/2010;3.8;20;4.5;1.1;2.9;5.1;4;3.2;8;2.9;1.4;2.7;4.4;2.9
5;2010;1;01/05/2010;4.1;17;4.1;1.4;3.2;5.2;3.9;3.4;9;3;1.7;2.9;4.7;3
6;2010;1;01/06/2010;3.3;16;4;0.5;2.8;4.8;4.3;3.1;7;2.7;1.5;2.8;4.6;3
7;2010;1;01/07/2010;3.3;15;3.9;0.4;2.7;5;4.6;3.4;10;3.1;1.5;2.9;4.9;3.5
8;2010;1;01/08/2010;3.2;18;4.2;0.4;2.7;4.9;4.5;3.1;8;2.8;1.6;2.8;4.5;2.9
9;2010;1;01/09/2010;3;19;4.3;0.3;2.2;4.6;4.3;3.1;7;2.7;1.5;2.7;4.4;2.9
10;2010;1;01/10/2010;3.3;18;4.2;0.4;2.7;5;4.6;3;10;3.1;1.3;2.8;4.4;3.1
11;2010;1;01/11/2010;3.7;17;4.1;0.9;3;5;4.1;3.2;8;2.8;1.6;2.8;4.6;3
12;2010;1;01/12/2010;3.9;21;4.6;0.8;3;5.2;4.4;3.3;10;3.1;1.7;2.8;4.7;3
1;2011;1;01/01/2011;4.2;21;4.5;1.8;3.4;5.3;3.5;3.3;9;3;1.8;2.9;4.6;2.8
2;2011;1;01/02/2011;4.4;20;4.5;1.7;3.4;5.3;3.5;3.2;9;3;1.6;2.9;4.7;3.1
3;2011;1;01/03/2011;5.2;17;4.1;2.7;4.6;7.1;4.4;3.6;11;3.2;1.8;3.2;5;3.3
4;2011;1;01/04/2011;5.3;20;4.5;2.6;4.6;7.1;4.5;3.3;11;3.3;1.6;2.9;4.7;3.2
5;2011;1;01/05/2011;4.8;17;4.2;2.4;4.1;5.4;3;3.3;10;3.1;1.6;2.9;4.8;3.2
6;2011;1;01/06/2011;4.5;21;4.6;1.8;3.8;5.4;3.6;3.6;11;3.3;1.6;3;5;3.4
7;2011;1;01/07/2011;4.4;18;4.2;2;3.4;5.3;3.3;3.3;8;2.8;1.7;2.9;4.7;2.9
