Monat;inflation: (Deutschland)
01/01/2010;27
01/02/2010;25
01/03/2010;25
01/04/2010;26
01/05/2010;56
01/06/2010;24
01/07/2010;16
01/08/2010;14
01/09/2010;22
01/10/2010;21
01/11/2010;25
01/12/2010;20
01/01/2011;29
01/02/2011;32
01/03/2011;27
01/04/2011;29
01/05/2011;30
01/06/2011;24
01/07/2011;27
01/08/2011;27
01/09/2011;26
01/10/2011;29
01/11/2011;40
01/12/2011;32
01/01/2012;28
01/02/2012;25
01/03/2012;28
01/04/2012;22
01/05/2012;29
01/06/2012;24
01/07/2012;23
01/08/2012;21
01/09/2012;29
01/10/2012;25
01/11/2012;26
01/12/2012;21
01/01/2013;26
01/02/2013;21
01/03/2013;24
01/04/2013;26
01/05/2013;22
01/06/2013;21
01/07/2013;17
01/08/2013;18
01/09/2013;19
01/10/2013;19
01/11/2013;24
01/12/2013;21
01/01/2014;26
01/02/2014;23
01/03/2014;24
01/04/2014;22
01/05/2014;24
01/06/2014;23
01/07/2014;16
01/08/2014;16
01/09/2014;21
01/10/2014;23
01/11/2014;28
01/12/2014;23
01/01/2015;31
01/02/2015;23
01/03/2015;23
01/04/2015;21
01/05/2015;18
01/06/2015;19
01/07/2015;17
01/08/2015;13
01/09/2015;19
01/10/2015;21
01/11/2015;21
01/12/2015;21
01/01/2016;20
01/02/2016;20
01/03/2016;20
01/04/2016;21
01/05/2016;19
01/06/2016;19
01/07/2016;15
01/08/2016;12
01/09/2016;17
01/10/2016;18
01/11/2016;21
01/12/2016;19
01/01/2017;26
01/02/2017;22
01/03/2017;26
01/04/2017;20
01/05/2017;21
01/06/2017;15
01/07/2017;15
01/08/2017;13
01/09/2017;17
01/10/2017;18
01/11/2017;20
01/12/2017;18
01/01/2018;23
01/02/2018;22
01/03/2018;19
01/04/2018;21
01/05/2018;22
01/06/2018;18
01/07/2018;16
01/08/2018;20
01/09/2018;19
01/10/2018;21
01/11/2018;22
01/12/2018;18
01/01/2019;22
01/02/2019;23
01/03/2019;21
01/04/2019;18
01/05/2019;19
01/06/2019;17
01/07/2019;16
01/08/2019;16
01/09/2019;18
01/10/2019;17
01/11/2019;21
01/12/2019;18
01/01/2020;21
01/02/2020;20
01/03/2020;46
01/04/2020;42
01/05/2020;33
01/06/2020;26
01/07/2020;20
01/08/2020;20
01/09/2020;22
01/10/2020;23
01/11/2020;25
01/12/2020;30
01/01/2021;33
01/02/2021;40
01/03/2021;40
01/04/2021;31
01/05/2021;46
01/06/2021;40
01/07/2021;39
01/08/2021;37
01/09/2021;48
01/10/2021;69
01/11/2021;63
01/12/2021;68
01/01/2022;80
01/02/2022;75
01/03/2022;96
01/04/2022;100
