Monat;inflation;inflation rate
01/01/2010;22;26
01/02/2010;25;31
01/03/2010;25;33
01/04/2010;25;31
01/05/2010;24;23
01/06/2010;19;19
01/07/2010;17;19
01/08/2010;17;15
01/09/2010;20;22
01/10/2010;23;28
01/11/2010;27;28
01/12/2010;21;24
01/01/2011;20;25
01/02/2011;24;29
01/03/2011;22;28
01/04/2011;27;33
01/05/2011;21;24
01/06/2011;17;19
01/07/2011;17;20
01/08/2011;18;19
01/09/2011;19;25
01/10/2011;19;28
01/11/2011;20;26
01/12/2011;18;22
01/01/2012;17;21
01/02/2012;19;32
01/03/2012;19;27
01/04/2012;20;30
01/05/2012;18;22
01/06/2012;15;19
01/07/2012;14;18
01/08/2012;14;18
01/09/2012;19;27
01/10/2012;21;32
01/11/2012;19;27
01/12/2012;16;24
01/01/2013;18;24
01/02/2013;22;30
01/03/2013;21;27
01/04/2013;25;32
01/05/2013;20;25
01/06/2013;15;19
01/07/2013;14;16
01/08/2013;14;16
01/09/2013;18;24
01/10/2013;23;30
01/11/2013;22;27
01/12/2013;21;25
01/01/2014;20;22
01/02/2014;23;30
01/03/2014;23;31
01/04/2014;26;32
01/05/2014;25;27
01/06/2014;17;19
01/07/2014;16;19
01/08/2014;15;17
01/09/2014;21;25
01/10/2014;25;31
01/11/2014;23;28
01/12/2014;22;26
01/01/2015;24;24
01/02/2015;24;34
01/03/2015;25;32
01/04/2015;27;34
01/05/2015;25;27
01/06/2015;16;20
01/07/2015;16;17
01/08/2015;16;17
01/09/2015;23;29
01/10/2015;25;32
01/11/2015;25;30
01/12/2015;26;27
01/01/2016;21;20
01/02/2016;25;34
01/03/2016;25;31
01/04/2016;26;33
01/05/2016;23;24
01/06/2016;15;16
01/07/2016;14;14
01/08/2016;14;15
01/09/2016;20;23
01/10/2016;23;30
01/11/2016;25;29
01/12/2016;23;26
01/01/2017;22;21
01/02/2017;25;36
01/03/2017;26;34
01/04/2017;25;36
01/05/2017;24;27
01/06/2017;17;18
01/07/2017;16;18
01/08/2017;16;17
01/09/2017;21;24
01/10/2017;25;34
01/11/2017;25;32
01/12/2017;24;25
01/01/2018;23;25
01/02/2018;30;38
01/03/2018;25;32
01/04/2018;27;38
01/05/2018;25;28
01/06/2018;19;19
01/07/2018;20;21
01/08/2018;21;20
01/09/2018;25;31
01/10/2018;27;39
01/11/2018;26;31
01/12/2018;24;29
01/01/2019;24;26
01/02/2019;27;38
01/03/2019;27;38
01/04/2019;28;40
01/05/2019;26;28
01/06/2019;19;20
01/07/2019;20;21
01/08/2019;19;20
01/09/2019;23;28
01/10/2019;25;36
01/11/2019;26;32
01/12/2019;24;30
01/01/2020;23;26
01/02/2020;27;38
01/03/2020;25;30
01/04/2020;28;35
01/05/2020;26;30
01/06/2020;20;20
01/07/2020;22;21
01/08/2020;22;20
01/09/2020;25;30
01/10/2020;25;35
01/11/2020;22;29
01/12/2020;26;25
01/01/2021;28;24
01/02/2021;36;35
01/03/2021;35;37
01/04/2021;33;37
01/05/2021;50;38
01/06/2021;40;27
01/07/2021;34;26
01/08/2021;29;24
01/09/2021;31;34
01/10/2021;44;48
01/11/2021;58;56
01/12/2021;50;51
01/01/2022;59;61
01/02/2022;68;74
01/03/2022;72;87
01/04/2022;78;100
01/05/2022;82;90
01/06/2022;100;89
