Monat;inflationsrate: (Deutschland)
01/01/2010;54
01/02/2010;61
01/03/2010;56
01/04/2010;49
01/05/2010;64
01/06/2010;50
01/07/2010;29
01/08/2010;27
01/09/2010;49
01/10/2010;37
01/11/2010;51
01/12/2010;41
01/01/2011;76
01/02/2011;73
01/03/2011;62
01/04/2011;68
01/05/2011;63
01/06/2011;49
01/07/2011;57
01/08/2011;53
01/09/2011;62
01/10/2011;58
01/11/2011;78
01/12/2011;66
01/01/2012;70
01/02/2012;61
01/03/2012;83
01/04/2012;59
01/05/2012;62
01/06/2012;51
01/07/2012;55
01/08/2012;48
01/09/2012;78
01/10/2012;60
01/11/2012;61
01/12/2012;55
01/01/2013;73
01/02/2013;57
01/03/2013;65
01/04/2013;57
01/05/2013;63
01/06/2013;50
01/07/2013;43
01/08/2013;41
01/09/2013;55
01/10/2013;45
01/11/2013;63
01/12/2013;49
01/01/2014;69
01/02/2014;56
01/03/2014;63
01/04/2014;54
01/05/2014;48
01/06/2014;51
01/07/2014;48
01/08/2014;39
01/09/2014;44
01/10/2014;46
01/11/2014;59
01/12/2014;48
01/01/2015;72
01/02/2015;52
01/03/2015;50
01/04/2015;40
01/05/2015;38
01/06/2015;45
01/07/2015;40
01/08/2015;29
01/09/2015;42
01/10/2015;45
01/11/2015;43
01/12/2015;39
01/01/2016;42
01/02/2016;43
01/03/2016;40
01/04/2016;40
01/05/2016;32
01/06/2016;30
01/07/2016;24
01/08/2016;25
01/09/2016;31
01/10/2016;34
01/11/2016;37
01/12/2016;29
01/01/2017;52
01/02/2017;47
01/03/2017;51
01/04/2017;39
01/05/2017;37
01/06/2017;29
01/07/2017;32
01/08/2017;26
01/09/2017;33
01/10/2017;32
01/11/2017;41
01/12/2017;38
01/01/2018;46
01/02/2018;44
01/03/2018;37
01/04/2018;42
01/05/2018;33
01/06/2018;35
01/07/2018;36
01/08/2018;30
01/09/2018;40
01/10/2018;43
01/11/2018;45
01/12/2018;36
01/01/2019;54
01/02/2019;48
01/03/2019;45
01/04/2019;37
01/05/2019;39
01/06/2019;36
01/07/2019;31
01/08/2019;29
01/09/2019;34
01/10/2019;34
01/11/2019;44
01/12/2019;34
01/01/2020;54
01/02/2020;47
01/03/2020;38
01/04/2020;31
01/05/2020;35
01/06/2020;32
01/07/2020;27
01/08/2020;28
01/09/2020;36
01/10/2020;41
01/11/2020;41
01/12/2020;34
01/01/2021;48
01/02/2021;50
01/03/2021;46
01/04/2021;39
01/05/2021;43
01/06/2021;47
01/07/2021;42
01/08/2021;48
01/09/2021;77
01/10/2021;80
01/11/2021;85
01/12/2021;71
01/01/2022;100
01/02/2022;84
01/03/2022;88
01/04/2022;78
