Monat;inflation rate: (Vereinigte Staaten)
01/01/2010;40
01/02/2010;48
01/03/2010;51
01/04/2010;47
01/05/2010;35
01/06/2010;29
01/07/2010;28
01/08/2010;22
01/09/2010;32
01/10/2010;43
01/11/2010;43
01/12/2010;37
01/01/2011;39
01/02/2011;45
01/03/2011;42
01/04/2011;50
01/05/2011;37
01/06/2011;29
01/07/2011;30
01/08/2011;29
01/09/2011;38
01/10/2011;44
01/11/2011;39
01/12/2011;35
01/01/2012;31
01/02/2012;48
01/03/2012;41
01/04/2012;47
01/05/2012;34
01/06/2012;29
01/07/2012;27
01/08/2012;27
01/09/2012;42
01/10/2012;47
01/11/2012;41
01/12/2012;36
01/01/2013;36
01/02/2013;45
01/03/2013;41
01/04/2013;48
01/05/2013;37
01/06/2013;29
01/07/2013;25
01/08/2013;25
01/09/2013;37
01/10/2013;46
01/11/2013;41
01/12/2013;38
01/01/2014;34
01/02/2014;46
01/03/2014;46
01/04/2014;49
01/05/2014;41
01/06/2014;28
01/07/2014;29
01/08/2014;25
01/09/2014;38
01/10/2014;47
01/11/2014;43
01/12/2014;39
01/01/2015;37
01/02/2015;52
01/03/2015;49
01/04/2015;52
01/05/2015;41
01/06/2015;29
01/07/2015;26
01/08/2015;26
01/09/2015;44
01/10/2015;49
01/11/2015;45
01/12/2015;42
01/01/2016;31
01/02/2016;51
01/03/2016;46
01/04/2016;51
01/05/2016;36
01/06/2016;24
01/07/2016;22
01/08/2016;22
01/09/2016;36
01/10/2016;46
01/11/2016;44
01/12/2016;39
01/01/2017;32
01/02/2017;54
01/03/2017;51
01/04/2017;55
01/05/2017;41
01/06/2017;28
01/07/2017;27
01/08/2017;26
01/09/2017;37
01/10/2017;52
01/11/2017;48
01/12/2017;38
01/01/2018;38
01/02/2018;58
01/03/2018;49
01/04/2018;57
01/05/2018;43
01/06/2018;29
01/07/2018;32
01/08/2018;31
01/09/2018;48
01/10/2018;59
01/11/2018;48
01/12/2018;43
01/01/2019;40
01/02/2019;57
01/03/2019;59
01/04/2019;60
01/05/2019;43
01/06/2019;31
01/07/2019;32
01/08/2019;29
01/09/2019;43
01/10/2019;54
01/11/2019;50
01/12/2019;45
01/01/2020;40
01/02/2020;58
01/03/2020;47
01/04/2020;53
01/05/2020;45
01/06/2020;30
01/07/2020;32
01/08/2020;30
01/09/2020;45
01/10/2020;53
01/11/2020;45
01/12/2020;38
01/01/2021;36
01/02/2021;53
01/03/2021;56
01/04/2021;56
01/05/2021;57
01/06/2021;42
01/07/2021;40
01/08/2021;36
01/09/2021;53
01/10/2021;73
01/11/2021;85
01/12/2021;78
01/01/2022;83
01/02/2022;95
01/03/2022;91
01/04/2022;100
